season,TeamName,Drivers,Points
1950,Adams,"Bayliss Levrett, Bill Cantrell",0.0
1950,Alfa Romeo,"Nino Farina, Luigi Fagioli, Juan Fangio, Reg Parnell, Piero Taruffi, Consalvo Sanesi",276.0
1950,Alta,"Joe Kelly, Geoff Crossley",0.0
1950,Cooper,Harry Schell,83.0
1950,Deidt,"Bill Holland, Mauri Rose",10.0
1950,ERA,"Bob Gerard, Cuth Harrison, Peter Walker, Tony Rolt, Leslie Johnson",0.0
1950,Ewing,Jimmy Davies,0.0
1950,Ferrari,"Alberto Ascari, Peter Whitehead, Raymond Sommer, Dorino Serafini, Luigi Villoresi, Clemente Biondetti",11126.77
1950,Kurtis Kraft,"Johnnie Parsons, Cecil Green, Joie Chitwood, Tony Bettenhausen, Walt Faulkner, Pat Flaherty, Mack Hellings, Jack McGrath, Johnny McDowell, Walt Brown, Jerry Hoyt, Fred Agabashian",129.0
1950,Langley,Gene Hartley,0.0
1950,Lesovsky,"George Connor, Troy Ruttman",10.0
1950,Marchese,Myron Fohr,0.0
1950,Maserati,"Prince Bira, Louis Chiron, Felice Bonetto, David Hampshire, Brian Shawe Taylor, Joe Fry, David Murray, Toulo de Graffenried, José Froilán González, Franco Rol, Alfredo Pián, Travis Webb, Henry Banks, Nello Pagani, Toni Branca, Franco Comotti, Paul Pietsch",411.28
1950,Moore,Lee Wallard,0.0
1950,Nichels,Paul Russo,0.0
1950,Olson,Jackie Holmes,0.0
1950,Rae,Walt Ader,0.0
1950,Simca,"Robert Manzon, Maurice Trintignant",5.0
1950,Snowberger,Bill Schindler,0.0
1950,Stevens,Duane Carter,0.0
1950,Talbot-Lago,"Louis Rosier, Yves Cabantous, Philippe Étancelin, Eugène Chaboud, Johnny Claes, Eugène Martin, Pierre Levegh, Charles Pozzi, Guy Mairesse, Henri Louveau",52.0
1950,Wetteroth,Jim Rathmann,0.0
1951,BRM,"Peter Walker, Ken Richardson",506.0
1951,Bromme,Rodger Ward,0.0
1951,HWM,"Stirling Moss, George Abecassis",2.0
1951,Hall,Bill Mackey,0.0
1951,Kuzma,Walt Faulkner,21.0
1951,OSCA,Franco Rol,0.0
1951,Pawl,Jimmy Davies,0.0
1951,Schroeder,"Bobby Ball, Duke Dinsmore",2.0
1951,Sherman,Andy Linden,3.0
1951,Trevis,Bill Vukovich,1.0
1951,Veritas,Peter Hirt,0.0
1952,AFM,"Hans von Stuck, Helmut Niedermayr, Willi Heeks",0.0
1952,Aston Butterworth,"Robin Montgomerie-Charrington, Bill Aston",0.0
1952,BMW,"Ernst Klodwig, Marcel Balsa, Günther Bechem, Rudolf Krause",0.0
1952,Connaught,"Dennis Poore, Eric Thompson, Ken Downing, Kenneth McAlpine",15.0
1952,Frazer Nash,"Ken Wharton, Tony Crook",3.0
1952,Gordini,"Robert Manzon, Jean Behra, Johnny Claes",25.0
1952,Watson,Jim Rigsby,36.0
1953,EMW,Edgar Barth,0.0
1954,Klenk,Theo Helfrich,0.0
1954,Mercedes,"Karl Kling, Hans Herrmann, Hermann Lang",7750.5
1954,Pankratz,Jimmy Reece,0.0
1954,Phillips,Don Freeland,7.0
1954,Vanwall,Peter Collins,49.0
1955,Arzani-Volpini,Luigi Piotti,0.0
1955,Epperly,Jim Rathmann,44.0
1955,Lancia,"Eugenio Castellotti, Luigi Villoresi, Alberto Ascari, Louis Chiron",14.0
1956,Emeryson,Paul Emery,3.0
1957,Dunn,Al Herman,0.0
1957,Porsche,"Edgar Barth, Carel Godin de Beaufort, Umberto Maglioli",50.0
1958,Team Lotus,"Cliff Allison, Graham Hill, Alan Stacey",987.0
1959,Aston Martin,Carroll Shelby,506.0
1959,Christensen,Jack Turner,0.0
1959,Cooper-Borgward,"Chris Bristow, George Constantine",0.0
1959,Cooper-Climax,"Jack Brabham, Stirling Moss, Maurice Trintignant, Bruce McLaren, Masten Gregory, Ivor Bueb, Alain de Changy, Lucien Bianchi, Jean Lucienbonnet, Henry Taylor, Peter Ashdown, Jack Fairman, Mike Taylor, Keith Greene, Bill Moss, Trevor Taylor, Tim Parnell",363.0
1959,Cooper-Maserati,"Roy Salvadori, Ian Burgess, Colin Davis, Hans Herrmann, Mário de Araújo Cabral",86.0
1959,Cooper-OSCA,Alessandro de Tomaso,0.0
1959,Elder,Ray Crawford,0.0
1959,Fry,Mike Parkes,0.0
1959,JBW,Brian Naylor,0.0
1959,Sutton,Mike Magill,0.0
1960,Behra-Porsche,"Masten Gregory, Fred Gamble",0.0
1960,Cooper-Castellotti,"Giulio Cabianca, Pete Lovely",3.0
1960,Meskowski,"Bob Veith, Bobby Grim",0.0
1960,Scarab,"Chuck Daigh, Lance Reventlow",0.0
1961,De Tomaso-Alfa Romeo,"Nino Vaccarella, Roberto Bussinello",0.0
1961,De Tomaso-Osca,Giorgio Scarlatti,0.0
1961,Ferguson,Jack Fairman,0.0
1961,Gilby,Keith Greene,0.0
