EventName,Dangers,Count,Dangers_Frequency
Caesars Palace Grand Prix,7,2,3.5
Swedish Grand Prix,20,6,3.3333333333333335
Detroit Grand Prix,22,7,3.142857142857143
United States Grand Prix West,24,8,3.0
Tuscan Grand Prix,3,1,3.0
Australian Grand Prix,105,38,2.763157894736842
San Marino Grand Prix,69,26,2.6538461538461537
Monaco Grand Prix,180,70,2.5714285714285716
Canadian Grand Prix,124,53,2.339622641509434
Portuguese Grand Prix,41,18,2.2777777777777777
Indianapolis 500,25,11,2.272727272727273
German Grand Prix,140,64,2.1875
United States Grand Prix,96,45,2.1333333333333333
Belgian Grand Prix,146,69,2.1159420289855073
Dutch Grand Prix,70,34,2.0588235294117645
Japanese Grand Prix,78,38,2.0526315789473686
Spanish Grand Prix,110,54,2.037037037037037
Russian Grand Prix,16,8,2.0
Qatar Grand Prix,6,3,2.0
Pacific Grand Prix,4,2,2.0
Korean Grand Prix,8,4,2.0
Sakhir Grand Prix,2,1,2.0
Luxembourg Grand Prix,4,2,2.0
Dallas Grand Prix,2,1,2.0
Austrian Grand Prix,73,37,1.972972972972973
Argentine Grand Prix,39,20,1.95
Italian Grand Prix,146,75,1.9466666666666668
South African Grand Prix,44,23,1.9130434782608696
British Grand Prix,143,75,1.9066666666666667
Mexican Grand Prix,38,20,1.9
European Grand Prix,41,23,1.7826086956521738
Saudi Arabian Grand Prix,7,4,1.75
Hungarian Grand Prix,67,39,1.7179487179487178
Singapore Grand Prix,24,15,1.6
French Grand Prix,99,62,1.596774193548387
Chinese Grand Prix,26,17,1.5294117647058822
Malaysian Grand Prix,29,19,1.5263157894736843
Mexico City Grand Prix,6,4,1.5
Swiss Grand Prix,9,6,1.5
Miami Grand Prix,4,3,1.3333333333333333
Indian Grand Prix,4,3,1.3333333333333333
Azerbaijan Grand Prix,9,7,1.2857142857142858
Emilia Romagna Grand Prix,5,4,1.25
Abu Dhabi Grand Prix,18,16,1.125
Styrian Grand Prix,2,2,1.0
Pescara Grand Prix,1,1,1.0
Moroccan Grand Prix,1,1,1.0
Eifel Grand Prix,1,1,1.0
Turkish Grand Prix,8,9,0.8888888888888888
Bahrain Grand Prix,17,20,0.85
Las Vegas Grand Prix,1,2,0.5
São Paulo Grand Prix,4,51,0.0784313725490196
