season,Position,FullName,CountryCode,Team,Points
2024,1,Max Verstappen,NED,Max Verstappen,437.0
2024,2,Lando Norris,GBR,Lando Norris,374.0
2024,3,Charles Leclerc,MON,Charles Leclerc,356.0
2024,4,Oscar Piastri,AUS,Oscar Piastri,292.0
2024,5,Carlos Sainz,ESP,Carlos Sainz,290.0
2024,6,George Russell,GBR,George Russell,245.0
2024,7,Lewis Hamilton,GBR,Lewis Hamilton,223.0
2024,8,Sergio Perez,MEX,Sergio Perez,152.0
2024,9,Fernando Alonso,ESP,Fernando Alonso,70.0
2024,10,Pierre Gasly,FRA,Pierre Gasly,42.0
2024,11,Nico Hulkenberg,GER,Nico Hulkenberg,41.0
2024,12,Yuki Tsunoda,JPN,Yuki Tsunoda,30.0
2024,13,Lance Stroll,CAN,Lance Stroll,24.0
2024,14,Esteban Ocon,FRA,Esteban Ocon,23.0
2024,15,Kevin Magnussen,DEN,Kevin Magnussen,16.0
2024,16,Daniel Ricciardo,AUS,Daniel Ricciardo,12.0
2024,17,Alexander Albon,THA,Alexander Albon,12.0
2024,18,Oliver Bearman,GBR,Oliver Bearman,7.0
2024,19,Franco Colapinto,ARG,Franco Colapinto,5.0
2024,20,Guanyu Zhou,CHN,Guanyu Zhou,4.0
2024,21,Liam Lawson,NZL,Liam Lawson,4.0
2024,22,Valtteri Bottas,FIN,Valtteri Bottas,0.0
2024,23,Logan Sargeant,USA,Logan Sargeant,0.0
2024,24,Jack Doohan,AUS,Jack Doohan,0.0
