season,round_num,event_name,country,location,event_date
1950,1,British Grand Prix,UK,Silverstone,
1950,2,Monaco Grand Prix,Monaco,Monte-Carlo,
1950,3,Indianapolis 500,USA,Indianapolis,
1950,4,Swiss Grand Prix,Switzerland,Bern,
1950,5,Belgian Grand Prix,Belgium,Spa,
1950,6,French Grand Prix,France,Reims,
1950,7,Italian Grand Prix,Italy,Monza,
1951,1,Swiss Grand Prix,Switzerland,Bern,
1951,2,Indianapolis 500,USA,Indianapolis,
1951,3,Belgian Grand Prix,Belgium,Spa,
1951,4,French Grand Prix,France,Reims,
1951,5,British Grand Prix,UK,Silverstone,
1951,6,German Grand Prix,Germany,Nürburg,
1951,7,Italian Grand Prix,Italy,Monza,
1951,8,Spanish Grand Prix,Spain,Barcelona,
1952,1,Swiss Grand Prix,Switzerland,Bern,
1952,2,Indianapolis 500,USA,Indianapolis,
1952,3,Belgian Grand Prix,Belgium,Spa,
1952,4,French Grand Prix,France,Rouen,
1952,5,British Grand Prix,UK,Silverstone,
1952,6,German Grand Prix,Germany,Nürburg,
1952,7,Dutch Grand Prix,Netherlands,Zandvoort,
1952,8,Italian Grand Prix,Italy,Monza,
1953,1,Argentine Grand Prix,Argentina,Buenos Aires,
1953,2,Indianapolis 500,USA,Indianapolis,
1953,3,Dutch Grand Prix,Netherlands,Zandvoort,
1953,4,Belgian Grand Prix,Belgium,Spa,
1953,5,French Grand Prix,France,Reims,
1953,6,British Grand Prix,UK,Silverstone,
1953,7,German Grand Prix,Germany,Nürburg,
1953,8,Swiss Grand Prix,Switzerland,Bern,
1953,9,Italian Grand Prix,Italy,Monza,
1954,1,Argentine Grand Prix,Argentina,Buenos Aires,
1954,2,Indianapolis 500,USA,Indianapolis,
1954,3,Belgian Grand Prix,Belgium,Spa,
1954,4,French Grand Prix,France,Reims,
1954,5,British Grand Prix,UK,Silverstone,
1954,6,German Grand Prix,Germany,Nürburg,
1954,7,Swiss Grand Prix,Switzerland,Bern,
1954,8,Italian Grand Prix,Italy,Monza,
1954,9,Spanish Grand Prix,Spain,Barcelona,
1955,1,Argentine Grand Prix,Argentina,Buenos Aires,
1955,2,Monaco Grand Prix,Monaco,Monte-Carlo,
1955,3,Indianapolis 500,USA,Indianapolis,
1955,4,Belgian Grand Prix,Belgium,Spa,
1955,5,Dutch Grand Prix,Netherlands,Zandvoort,
1955,6,British Grand Prix,UK,Liverpool,
1955,7,Italian Grand Prix,Italy,Monza,
1956,1,Argentine Grand Prix,Argentina,Buenos Aires,
1956,2,Monaco Grand Prix,Monaco,Monte-Carlo,
1956,3,Indianapolis 500,USA,Indianapolis,
1956,4,Belgian Grand Prix,Belgium,Spa,
1956,5,French Grand Prix,France,Reims,
1956,6,British Grand Prix,UK,Silverstone,
1956,7,German Grand Prix,Germany,Nürburg,
1956,8,Italian Grand Prix,Italy,Monza,
1957,1,Argentine Grand Prix,Argentina,Buenos Aires,
1957,2,Monaco Grand Prix,Monaco,Monte-Carlo,
1957,3,Indianapolis 500,USA,Indianapolis,
1957,4,French Grand Prix,France,Rouen,
1957,5,British Grand Prix,UK,Liverpool,
1957,6,German Grand Prix,Germany,Nürburg,
1957,7,Pescara Grand Prix,Italy,Pescara,
1957,8,Italian Grand Prix,Italy,Monza,
1958,1,Argentine Grand Prix,Argentina,Buenos Aires,
1958,2,Monaco Grand Prix,Monaco,Monte-Carlo,
1958,3,Dutch Grand Prix,Netherlands,Zandvoort,
1958,4,Indianapolis 500,USA,Indianapolis,
1958,5,Belgian Grand Prix,Belgium,Spa,
