season,round_num,event_name,country,location,event_date,session_one,session_two,session_three,session_four,session_five
1950,1,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1950,2,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1950,3,Indianapolis 500,USA,Indianapolis,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1950,4,Swiss Grand Prix,Switzerland,Bern,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1950,5,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1950,6,French Grand Prix,France,Reims,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1950,7,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1951,1,Swiss Grand Prix,Switzerland,Bern,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1951,2,Indianapolis 500,USA,Indianapolis,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1951,3,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1951,4,French Grand Prix,France,Reims,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1951,5,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1951,6,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1951,7,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1951,8,Spanish Grand Prix,Spain,Barcelona,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1952,1,Swiss Grand Prix,Switzerland,Bern,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1952,2,Indianapolis 500,USA,Indianapolis,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1952,3,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1952,4,French Grand Prix,France,Rouen,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1952,5,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1952,6,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1952,7,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1952,8,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1953,1,Argentine Grand Prix,Argentina,Buenos Aires,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1953,2,Indianapolis 500,USA,Indianapolis,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1953,3,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1953,4,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1953,5,French Grand Prix,France,Reims,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1953,6,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1953,7,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1953,8,Swiss Grand Prix,Switzerland,Bern,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1953,9,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1954,1,Argentine Grand Prix,Argentina,Buenos Aires,,Practice 1,Practice 2,Practice 3,Qualifying,Race
