season,RoundNumber,EventName,Status,count
1950,1,British Grand Prix,+2 Laps,2
1950,1,British Grand Prix,+3 Laps,2
1950,1,British Grand Prix,+5 Laps,1
1950,1,British Grand Prix,+6 Laps,4
1950,1,British Grand Prix,Clutch,1
1950,1,British Grand Prix,Engine,2
1950,1,British Grand Prix,Finished,3
1950,1,British Grand Prix,Gearbox,2
1950,1,British Grand Prix,Not classified,1
1950,1,British Grand Prix,Oil leak,1
1950,1,British Grand Prix,Oil pressure,1
1950,1,British Grand Prix,Out of fuel,1
1950,1,British Grand Prix,Supercharger,1
1950,1,British Grand Prix,Transmission,1
1950,2,Monaco Grand Prix,+1 Lap,1
1950,2,Monaco Grand Prix,+2 Laps,1
1950,2,Monaco Grand Prix,+3 Laps,1
1950,2,Monaco Grand Prix,+5 Laps,1
1950,2,Monaco Grand Prix,+6 Laps,2
1950,2,Monaco Grand Prix,Accident,10
1950,2,Monaco Grand Prix,Axle,1
1950,2,Monaco Grand Prix,Collision,1
1950,2,Monaco Grand Prix,Engine,1
1950,2,Monaco Grand Prix,Finished,1
1950,2,Monaco Grand Prix,Oil leak,1
1950,3,Indianapolis 500,+1 Lap,3
1950,3,Indianapolis 500,+10 Laps,3
1950,3,Indianapolis 500,+11 Laps,1
1950,3,Indianapolis 500,+12 Laps,1
1950,3,Indianapolis 500,+13 Laps,1
1950,3,Indianapolis 500,+15 Laps,1
1950,3,Indianapolis 500,+16 Laps,1
1950,3,Indianapolis 500,+2 Laps,3
1950,3,Indianapolis 500,+3 Laps,4
1950,3,Indianapolis 500,+5 Laps,2
1950,3,Indianapolis 500,+6 Laps,1
1950,3,Indianapolis 500,+8 Laps,1
1950,3,Indianapolis 500,Finished,1
1950,3,Indianapolis 500,Oil leak,1
1950,3,Indianapolis 500,Oil line,1
1950,3,Indianapolis 500,Oil pressure,2
1950,3,Indianapolis 500,Spun off,2
1950,3,Indianapolis 500,Transmission,1
1950,4,Swiss Grand Prix,+1 Lap,1
1950,4,Swiss Grand Prix,+2 Laps,3
1950,4,Swiss Grand Prix,+3 Laps,3
1950,4,Swiss Grand Prix,+4 Laps,1
1950,4,Swiss Grand Prix,+7 Laps,1
1950,4,Swiss Grand Prix,Accident,2
1950,4,Swiss Grand Prix,Engine,2
1950,4,Swiss Grand Prix,Finished,2
1950,4,Swiss Grand Prix,Gearbox,1
1950,4,Swiss Grand Prix,Oil pump,1
1950,4,Swiss Grand Prix,Suspension,1
1950,5,Belgian Grand Prix,+1 Lap,1
1950,5,Belgian Grand Prix,+2 Laps,2
1950,5,Belgian Grand Prix,+3 Laps,1
1950,5,Belgian Grand Prix,+5 Laps,1
1950,5,Belgian Grand Prix,+6 Laps,1
1950,5,Belgian Grand Prix,Finished,4
1950,5,Belgian Grand Prix,Oil pipe,2
1950,5,Belgian Grand Prix,Oil pressure,1
1950,5,Belgian Grand Prix,Overheating,1
1950,6,French Grand Prix,+12 Laps,1
1950,6,French Grand Prix,+3 Laps,2
1950,6,French Grand Prix,+5 Laps,2
1950,6,French Grand Prix,+8 Laps,2
1950,6,French Grand Prix,Engine,7
1950,6,French Grand Prix,Finished,2
1950,6,French Grand Prix,Fuel pump,1
1950,6,French Grand Prix,Overheating,3
1950,7,Italian Grand Prix,+5 Laps,2
1950,7,Italian Grand Prix,+8 Laps,2
1950,7,Italian Grand Prix,Brakes,1
1950,7,Italian Grand Prix,Engine,7
1950,7,Italian Grand Prix,Finished,4
1950,7,Italian Grand Prix,Gearbox,4
1950,7,Italian Grand Prix,Oil pipe,1
1950,7,Italian Grand Prix,Oil pressure,1
1950,7,Italian Grand Prix,Overheating,1
1950,7,Italian Grand Prix,Radiator,1
1950,7,Italian Grand Prix,Retired,2
1950,7,Italian Grand Prix,Transmission,1
1950,7,Italian Grand Prix,Water pipe,1
1950,7,Italian Grand Prix,Withdrew,1
1951,1,Swiss Grand Prix,+1 Lap,1
1951,1,Swiss Grand Prix,+11 Laps,1
1951,1,Swiss Grand Prix,+2 Laps,4
1951,1,Swiss Grand Prix,+3 Laps,3
1951,1,Swiss Grand Prix,+4 Laps,1
